,text
345,"['get', 'ready', 'for', 'another', 'word', 'cup', 'fever', 'fifa', 'world', 'cup', 'see', 'full', 'coverage', 'on', 'khel', 'duniya']"
346,"['fifa', 'world', 'cup', 'all', 'nations', 'squad', 'list', 'for', 'qatar', 'khel', 'now', 'and', 'all', 'other', 'latest', 'news', 'about', 'shibasaki']"
347,"['pakistan', 'mein', 'bhi', 'fifa', 'wc', 'nahi', 'khel', 'rha', 'tha', 'damn']"
348,"['eng', 'may', 'gonna', 'win', 'cricket', 'world', 'cup', 'in', 'years', 'they', 'will', 'also', 'play', 'fifa', 'world', 'cup', 'and', 'probably', 'reach', 'semi', 'finals', 'aur', 'ek', 'hum', 'hai', 'jo', 'ki', 'ek', 'sports', 'theek', 'se', 'nahi', 'khel', 'pa', 'rahe']"
349,"['india', 'fifa', 'khel', 'rha', 'ha', 'is', 'dfa']"
350,"['top', 'five', 'players', 'missing', 'from', 'france', 'fifa', 'world', 'cup', 'squad', 'khel', 'now', 'source']"
351,"['jo', 'khel', 'rahe', 'unke', 'chehre', 'me', 'ghanta', 'kuch', 'farak', 'nhi', 'he', 'aur', 'me', 'c', 'ke', 'tarah', 'din', 'se', 'dukh', 'me', 'hun', 'kaas', 'india', 'ke', 'football', 'team', 'bhi', 'cricket', 'team', 'ke', 'tarah', 'hota', 'to', 'me', 'mast', 'fifa', 'ke', 'liye', 'intezar', 'karta', 'hota']"
352,"['portugal', 'announces', 'man', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now', 'source']"
353,"['worst', 'fifa', 'wc', 'also', 'ke', 'baad', 'wale', 'world', 'cups', 'mein', 'woh', 'vibe', 'hi', 'nhi', 'raha', 'hai', 'yeh', 'wala', 'toh', 'aur', 'bekaar', 'lag', 'raha', 'itne', 'saare', 'major', 'players', 'injury', 'ki', 'wajah', 'se', 'nhi', 'khel', 'rahe', 'hai', 'so', 'aur', 'hai']"
354,"['football', 'bhi', 'europe', 'or', 'south', 'american', 'desho', 'ka', 'khel', 'he', 'or', 'fifa', 'wc', 'me', 'asia', 'or', 'africa', 'ki', 'team', 'sirf', 'slot', 'bharne', 'jaati', 'h', 'wc', 'to', 'dono', 'me', 'se', 'koi', 'jetati', 'nhi']"
355,"['fifa', 'khel', 'rhe', 'ho', 'kya']"
356,"['germany', 'fifa', 'world', 'cup', 'germany', 'team', 'with', 'this', 'young', 'talent', 'the', 'return', 'of', 'khel', 'gotz', 'who', 'played', 'five', 'years', 'ago']"
357,"['mei', 'to', 'ye', 'aire', 'gaire', 'khel', 'dekhta', 'hi', 'nahi', 'hardcopy', 'football', 'fan', 'hun', 'mai', 'to', 'bs', 'fifa', 'hi', 'dekhta', 'hoon']"
358,"['acha', 'hai', 'fifa', 'world', 'cup', 'nahi', 'khel', 'rahe', 'hum', 'log']"
359,"['top', 'documentaries', 'you', 'should', 'watch', 'before', 'start', 'of', 'fifa', 'world', 'cup', 'khel', 'now']"
360,"['dalle', 'tere', 'chalte', 'fifa', 'nhi', 'khel', 'paaye']"
361,"['sports', 'khel', 'and', 'sports', 'are', 'same', 'can', 'i', 'watch', 'fifa', 'world', 'cup', 'on', 'these', 'channels']"
362,"['may', 'b', 'pakistan', 'fifa', 'cup', 'khel', 'ly', 'or', 'jeet', 'b', 'jay']"
363,"['switzerland', 'announces', 'man', 'squad', 'for', 'fifa', 'world', 'cup', 'khel', 'now']"
364,"['fifa', 'khel', 'nahi', 'saktey', 'to', 'kya', 'hua', 'chokidari', 'to', 'kar', 'saktey', 'hain']"
365,"['nhi', 'yaar', 'fifa', 'khel', 'kr', 'ghussa', 'ata', 'r', 'and', 'cod', 'ki', 'lobbies', 'itni', 'toxic', 'hoteen']"
366,"['can', 'i', 'watch', 'fifa', 'world', 'cup', 'on', 'sports', 'khel']"
367,"['will', 'the', 'fifa', 'world', 'cup', 'available', 'on', 'sports', 'khel', 'channel']"
368,"['gow', 'khel', 'rahi', 'hu', 'filhal', 'aaj', 'toh', 'fir', 'fifa']"
369,"['fifa', 'khel', 'rahe', 'the', 'kya']"
370,"['steam', 'mein', 'fifa', 'khel', 'ra', 'kya', 'bro']"
371,"['rules', 'introduced', 'by', 'qatar', 'government', 'for', 'fifa', 'world', 'cup', 'khel', 'now']"
372,"['bhai', 'mai', 'mazaak', 'bhi', 'nahi', 'kar', 'raha', 'itna', 'try', 'hard', 'hoti', 'hai', 'harr', 'game', 'literally', 'every', 'single', 'game', 'ese', 'khel', 'rahe', 'hote', 'hai', 'log', 'jese', 'kisi', 'ne', 'unke', 'sarr', 'pe', 'gun', 'rakhi', 'ho', 'itna', 'try', 'hard', 'mene', 'kabhi', 'koi', 'fifa', 'mai', 'nahi', 'dekha']"
373,"['esse', 'teen', 'ghante', 'se', 'fifa', 'khel', 'rha', 'hun', 'jese', 'sirf', 'sendups', 'nahi', 'proff', 'bhi', 'ho', 'gya', 'hai']"
374,"['haan', 'bhai', 'nz', 'toh', 'fifa', 'world', 'cup', 'khel', 'raha']"
375,"['zil', 'una', 'konsa', 'fifa', 'version', 'khel', 'rha', 'h']"
376,"['yar', 'fifa', 'world', 'cup', 'kab', 'se', 'start', 'hai', 'aur', 'ye', 'bhi', 'batao', 'konsi', 'team', 'aaj', 'kal', 'acha', 'khel', 'rahi', 'hai']"
377,"['bsdk', 'bilateral', 'mein', 'koi', 'bhi', 'khel', 'le', 'wc', 'mein', 'jigraa', 'chahiye', 'tatte', 'sidha', 'bol', 'pakistan', 'chawal', 'kaum', 'h', 'nhi', 'h', 'jigra', 'chutiya', 'abb', 'tu', 'bolega', 'ki', 'fifa', 'wc', 'ke', 'stats', 'chodho', 'international', 'friendly', 'dekho', 'abbey', 'tatte', 'jabh', 'hojayega', 'tabh', 'ana', 'pr', 'jabh', 'tk', 'pakistan', 'ayega', 'india', 'hoga']"
378,"['it', 'via', 'ddfree', 'dish', 'also', 'fifa', 'u', 'not', 'available', 'on', 'khel', 'it', 'of', 'no', 'use', 'that', 'channel']"
379,"['are', 'launde', 'fifa', 'khel', 'tu']"
380,"['wanted', 'someone', 'to', 'play', 'fifa', 'with', 'me', 'but', 'meri', 'zindagi', 'ka', 'sath', 'khel', 'gaye']"
381,"['hello', 'everyone', 'a', 'very', 'good', 'evening', 'welcome', 'to', 'khel', 'now', 'live', 'feed', 'of', 'the', 'fifa', 'u', 'women', 'world', 'cup', 'match', 'between', 'brazil', 'and', 'india', 'today', 'we', 'are', 'at', 'the', 'kalinga', 'stadium', 'in', 'bhubaneshwar', 'odisha']"
382,"['mast', 'fifa', 'khel', 'rha', 'thagalti', 'se', 'el', 'clasico', 'on', 'kar', 'diya']"
383,"['true', 'sirf', 'fifa', 'khel', 'k', 'time', 'guzarta', 'tha']"
384,"['it', 'a', 'private', 'bodythier', 'rules', 'why', 'is', 'rajiv', 'gandhi', 'khel', 'ratna', 'why', 'is', 'ncp', 'politicians', 'fifa', 'president', 'or', 'bcci', 'president', 'atleast', 'now', 'players', 'head', 'bcci', 'not', 'like', 'earlier']"
385,"['bro', 'samefifa', 'days', 'were', 'my', 'peak', 'daysi', 'remember', 'i', 'was', 'in', 'organizing', 'team', 'of', 'a', 'sporting', 'event', 'back', 'in', 'in', 'my', 'univ', 'where', 'fifa', 'was', 'on', 'cardsainwen', 'controllers', 'check', 'kr', 'ra', 'tha', 'tou', 'match', 'khel', 'lea', 'defending', 'champ', 'k', 'sath', 'and', 'we', 'finished', 'in', 'finalsi', 'was', 'better', 'than', 'that', 'ah']"
386,"['usa', 'u', 'winger', 'onyeka', 'gamero', 'is', 'grateful', 'for', 'the', 'powerful', 'start', 'to', 'the', 'campaign', 'read', 'what', 'she', 'told', 'khel', 'now']"
387,"['usa', 'midfielder', 'dedicates', 'her', 'goal', 'to', 'her', 'grandfather', 'we', 'wish', 'her', 'grandfather', 'a', 'speedy', 'recovery', 'here', 'what', 'she', 'told', 'khel', 'now']"
388,"['fifa', 'ke', 'security', 'apnon', 'ko', 'security', 'kn', 'da', 'boss', 'reham', 'kro', 'mulk', 'py', 'kitna', 'khelna', 'ha', 'mulk', 'sy', 'sal', 'sy', 'khel', 'rhy', 'ho', 'abi', 'tk', 'dil', 'nhn', 'bra']"
389,"['commisserations', 'young', 'tigresses', 'but', 'we', 'keep', 'going', 'watch', 'india', 'vs', 'morocco', 'in', 'fifa', 'u', 'women', 'world', 'cup', 'on', 'oct', 'at', 'pm', 'live', 'on', 'hd', 'amp', 'sports', 'khel']"
390,"['cheer', 'for', 'the', 'indian', 'u', 'team', 'with', 'pride', 'as', 'they', 'host', 'usa', 'in', 'an', 'exciting', 'group', 'a', 'clash', 'live', 'from', 'pm', 'on', 'sports', 'hd', 'amp', 'sports', 'khel', 'you', 'can', 'also', 'watch', 'the', 'games', 'on', 'the', 'voot', 'appwebsite', 'and', 'jio', 'tv', 'for', 'free']"
391,"['hello', 'everyone', 'welcome', 'to', 'khel', 'now', 'live', 'coverage', 'of', 'the', 'fifa', 'u', 'women', 'world', 'cup', 'group', 'a', 'match', 'between', 'india', 'and', 'the', 'united', 'states', 'kickoff', 'is', 'minutes', 'away', 'and', 'well', 'keep', 'you', 'posted', 'throughout']"
392,"['gyus', 'fifa', 'me', 'india', 'bohot', 'accha', 'khel', 'raha', 'hai', 'hamara', 'support', 'ka', 'jarurat', 'hai']"
393,"['bsdke', 'mai', 'bhi', 'fifa', 'se', 'khel', 'raha', 'hu', 'fut', 'nahi', 'khel', 'hai', 'bas']"
394,"['tu', 'bhenchd', 'naya', 'player', 'hai', 'ek', 'veteran', 'ko', 'jo', 'fifa', 'se', 'game', 'khel', 'raha', 'hai', 'usko', 'gyaan', 'chd', 'raha', 'hai']"
395,"['mei', 'fifa', 'khel', 'raha', 'aajkal']"
397,"['kal', 'economics', 'ka', 'exam', 'hai', 'aur', 'mai', 'fifa', 'khel', 'raha', 'hu', 'w']"
398,"['koi', 'nhi', 'woh', 'bhi', 'fifa', 'nhi', 'khelti', 'thi', 'par', 'mera', 'sath', 'khel', 'gaye']"
399,"['yaar', 'wo', 'bichara', 'talented', 'player', 'ab', 'kabhi', 'isl', 'me', 'doobara', 'nhi', 'khelega', 'ek', 'to', 'saalo', 'wo', 'india', 'ki', 'noob', 'league', 'me', 'khel', 'de', 'rhe', 'hai', 'wrna', 'ab', 'kya', 'hi', 'khu', 'iss', 'madarchod', 'referee', 'ki', 'suspend', 'kro', 'i', 'want', 'fifa', 'to', 'interfere', 'fir', 'saale', 'kehte', 'hai', 'fans', 'support', 'nhi', 'krte', 'fans', 'indian', 'league', 'nhi', 'dekhte']"
400,"['cal', 'ja', 'fifa', 'khel', 'bharwi']"
401,"['fifa', 'khel', 'na', 'hai', 'yaar']"
402,"['fifa', 'world', 'cup', 'qatar', 'mei', 'hai', 'hosting', 'ki', 'chhodiye', 'aap', 'waha', 'khel', 'bhi', 'rhaei', 'hai', 'olympics', 'mei', 'gold', 'medal', 'laye', 'ho', 'dollar', 'rs', 'ko', 'touch', 'kr', 'rha', 'haikiski', 'gaand', 'ftt', 'rahi', 'hai', 'jara', 'fir', 'se', 'jawab', 'dijiyega']"
403,"['teri', 'mein', 'stoberiyan', 'zaya', 'karta', 'hun', 'soja', 'ya', 'ja', 'k', 'fifa', 'khel']"
404,"['will', 'fifa', 'world', 'cup', 'be', 'telecasted', 'live', 'fta', 'on', 'sports', 'khel']"
405,"['pc', 'wali', 'zyada', 'khel', 'rha', 'hu', 'm', 'aur', 'waise', 'bhi', 'i', 'am', 'finished', 'in', 'fifa', 'mobile', 'pichle', 'din', 'm', 'bs', 'match', 'jeeta', 'hu']"
406,"['dost', 'bna', 'do', 'khli', 'fifa', 'khel', 'longa', 'ek', 'bar', 'trsawa', 'ho']"
407,"['kash', 'koi', 'friend', 'hota', 'jiske', 'pass', 'ps', 'hota', 'to', 'fifa', 'khel', 'leta', 'fifa', 'se', 'bss', 'mbl', 'pe', 'kam', 'chla', 'rha', 'ho']"
408,"['top', 'favourites', 'to', 'win', 'golden', 'boot', 'at', 'fifa', 'world', 'cup', 'khel', 'now']"
409,"['ye', 'to', 'fifa', 'khel', 'rahe', 'hain']"
410,"['laptop', 'pe', 'fifa', 'khel', 'lete', 'isse', 'acha', 'to']"
411,"['abe', 'vo', 'fifa', 'hvaha', 'team', 'khelti', 'hyaha', 'usse', 'aadhi', 'team', 'khel', 'rahi', 'h']"
412,"['fifa', 'khel', 'career', 'mode', 'its', 'fun']"
413,"['babu', 'fifa', 'khelta', 'tha', 'abhi', 'nhi', 'khel', 'rha']"
414,"['la', 'representacin', 'de', 'khel', 'fifa', 'no', 'estaba', 'nada', 'alejada', 'de', 'la', 'realidad']"
415,"['post', 'date', 'fifa', 'khel', 'skte']"
416,"['socha', 'tha', 'fifa', 'khelenge', 'par', 'woh', 'tou', 'mery', 'sath', 'hi', 'khel', 'gye']"
417,"['india', 'k', 'hr', 'khel', 'me', 'chutya', 'politician', 'ya', 'unke', 'janne', 'wale', 'hi', 'hai', 'bs', 'football', 'india', 'ke', 'log', 'hi', 'nbi', 'dekhte', 'to', 'u', 'ke', 'pass', 'paisa', 'nhi', 'hailog', 'dekhenge', 'to', 'brand', 'value', 'badhegi', 'india', 'me', 'fifa', 'wc', 'ke', 'time', 'josh', 'chadhta', 'hai', 'aur', 'joota', 'phn', 'ke', 'khelne', 'wali', 'kahani', 'pr', 'sb', 'rote', 'h', 'fir', 'fifa', 'khtm', 'sb', 'khtm']"
418,"['bhai', 'main', 'abb', 'kya', 'karoon', 'fifa', 'aur', 'spiderman', 'khel', 'khel', 'ker', 'thakk', 'gaya', 'hoon', 'aur', 'tomb', 'raider', 'pasand', 'nahi', 'aayi']"
419,"['boy', 'fifa', 'ba', 'yobbou', 'sam', 'khel', 'mi']"
420,"['fifa', 'pe', 'career', 'mode', 'khel', 'lo', 'seekh', 'jaoge']"
421,"['fifa', 'world', 'cup', 'qatar', 'will', 'victory', 'favour', 'brazil', 'after', 'years', 'khel', 'now']"
422,"['fifa', 'world', 'cup', 'mai', 'pakistan', 'bhi', 'khel', 'raha', 'hai', 'football', 'ki', 'surat', 'mai', 'is', 'ka', 'matlab', 'sab', 'pakistan', 'ke', 'jazbatun', 'ke', 'saath', 'kheleingai', 'anyways', 'fakhar', 'ki', 'baatfakhar', 'se', 'yaad', 'aaya', 'haider', 'ali', 'ne', 'kuch', 'b', 'nai', 'khela']"
423,"['fifa', 'mobile', 'khel', 'ovr', 'balance', 'kar']"
424,"['kuch', 'nhi', 'bro', 'bhaiya', 'keh', 'sath', 'fifa', 'khel', 'raha', 'tha', 'tum', 'batao', 'bro']"
425,"['maine', 'just', 'kuch', 'dino', 'pehle', 'fifa', 'khareeda', 'ki', 'kuch', 'din', 'fifa', 'aane', 'ke', 'pehle', 'khel', 'lu', 'saala', 'laptop', 'ka', 'battery', 'hi', 'bloat', 'hogya', 'aur', 'battery', 'replacement', 'bhi', 'nhi', 'mil', 'rha']"
426,"['agr', 'fifa', 'ne', 'ye', 'usool', 'tay', 'kia', 'he', 'to', 'maldives', 'players', 'ne', 'qn', 'follow', 'nhin', 'kiya', 'mrd', 'players', 'nikker', 'k', 'neechay', 'tights', 'pehen', 'kr', 'qn', 'khel', 'lete', 'hen', 'usool', 'wusool', 'choren', 'sb', 'apni', 'mrzi', 'krte', 'hen', 'aap', 'ka', 'point', 'yehi', 'he', 'k', 'ghalat', 'ko', 'sb', 'theek', 'keh', 'rhe', 'hen', 'to', 'bs', 'theek', 'hi', 'hoga']"
427,"['abey', 'o', 'south', 'bombay', 'ke', 'ayaan', 'tu', 'jab', 'bachpan', 'mein', 'bhen', 'ke', 'lode', 'kamre', 'mein', 'fifa', 'khel', 'raha', 'tha', 'tab', 'hum', 'dhup', 'mein', 'glucon', 'd', 'vaale', 'bachhe', 'ki', 'tarah', 'polo', 'ki', 'ball', 'se', 'cricket', 'khel', 'rahe', 'the', 'apni', 'nawabi', 'apni', 'gaand', 'mein', 'rakh', 'thik', 'hain']"
428,"['hours', 'mei', 'se', 'mei', 'toh', 'sad', 'rehta', 'hu', 'baaki', 'time', 'mei', 'fifa', 'khel', 'leta', 'hu']"
429,"['yeh', 'tha', 'mast', 'astra', 'mere', 'bacche', 'ko', 'toh', 'bhagvan', 'ki', 'daya', 'se', 'koi', 'pasand', 'nahi', 'phir', 'bhi', 'jab', 'usne', 'kaha', 'toh', 'mai', 'uske', 'saath', 'ps', 'per', 'fifa', 'khel', 'liya', 'ghante', 'paisa', 'bhi', 'bacha', 'aur', 'time', 'bhi']"
430,"['top', 'five', 'youngest', 'fifa', 'world', 'cup', 'winners', 'khel', 'now']"
431,"['fifa', 'world', 'cup', 'list', 'of', 'all', 'golden', 'glove', 'winners', 'khel', 'now']"
432,"['tu', 'order', 'manga', 'le', 'bhai', 'pehle', 'fifa', 'baad', 'mein', 'khel', 'liyo']"
433,"['kindly', 'tell', 'us', 'that', 'sports', 'khel', 'will', 'telicast', 'fifa', 'world', 'cup', 'or', 'not', 'please', 'clarify']"
434,"['bahuton', 'ne', 'pehle', 'bhi', 'us', 'paar', 'waale', 'se', 'haath', 'milaya', 'tha', 'aaj', 'udgar', 'se', 'unki', 'jubaan', 'aag', 'ugalti', 'hai', 'there', 'shouldnt', 'be', 'any', 'match', 'khel', 'me', 'ye', 'sab', 'to', 'dekha', 'hi', 'jata', 'warna', 'russia', 'olympics', 'aur', 'fifa', 'se', 'hath', 'n', 'dhota']"
436,"['bhai', 'kya', 'fifa', 'khel', 'rahi', 'hai', 'liverpool']"
437,"['subha', 'k', 'bj', 'gy', 'hain', 'or', 'nathia', 'gali', 'beth', 'kr', 'fifa', 'khel', 'rhy', 'hain']"
438,"['sirf', 'lyari', 'mai', 'hee', 'secuirty', 'di', 'hoti', 'tou', 'aaj', 'pakistan', 'fifa', 'khel', 'rhi', 'hoti', 'army', 'ko', 'event', 'guards', 'na', 'banna', 'parta']"
439,"['they', 'were', 'like', 'usme', 'computer', 'hota', 'hai', 'mai', 'fifa', 'khelunga', 'btech', 'wale', 'fifa', 'khel', 'te', 'hain', 'mind', 'fresh', 'karne', 'ke', 'liye', 'i', 'was', 'like']"
440,"['most', 'of', 'the', 'clauses', 'that', 'coa', 'made', 'in', 'the', 'constitution', 'will', 'be', 'implemented', 'apart', 'from', 'the', 'ones', 'that', 'fifa', 'objected', 'according', 'to', 'khel', 'now']"
441,"['in', 'khel', 'now', 'live', 'ashish', 'negi', 'said', 'the', 'most', 'of', 'the', 'draft', 'would', 'stayand', 'he', 'also', 'said', 'the', 'se', 'about', 'the', 'changes', 'made', 'by', 'coa', 'which', 'doesnt', 'go', 'against', 'fifa', 'guidelines', 'wud', 'stay']"
442,"['fifa', 'likely', 'to', 'lift', 'ban', 'in', 'hours', 'after', 'supreme', 'court', 'judgement', 'submitted', 'to', 'fifa', 'from', 'khel', 'now']"
443,"['watch', 'khel', 'know', 'you', 'tube', 'you', 'are', 'big', 'joker', 'i', 'understand', 'you', 'do', 'not', 'post', 'why', 'coa', 'has', 'not', 'taken', 'action', 'against', 'that', 'fifa', 'letter']"
444,"['mere', 'dono', 'bhai', 'fifa', 'khel', 'k', 'khud', 'ko', 'ronaldo', 'aur', 'messi', 'smghty', 'hein']"
445,"['wow', 'what', 'an', 'amazing', 'performance', 'by', 'neufc', 'foreign', 'sign', 'complete', 'hua', 'ki', 'nahi', 'agr', 'nhi', 'hua', 'toh', 'tumlogo', 'ka', 'khel', 'khatam', 'fifa', 'ne', 'ban', 'kar', 'diya', 'na', 'aiff', 'ko', 'main', 'aaj', 'se', 'is', 'ghatiya', 'team', 'ko', 'unfollow', 'karta', 'hoon']"
446,"['neend', 'nai', 'a', 'rhi', 'fifa', 'khel', 'ra', 'houn']"
447,"['aur', 'sun', 're', 'lodu', 'gkfc', 'ka', 'ladki', 'lok', 'ko', 'letter', 'vi', 'mil', 'geya', 'ki', 'wo', 'nehi', 'khel', 'sakte', 'afc', 'asian', 'championship', 'ranju', 'ko', 'fifa', 'ka', 'sare', 'laws', 'pata', 'tha', 'lekin', 'wo', 'firvi', 'coa', 'ko', 'misguide', 'kiyakiu', 'minerva', 'academy', 'ke', 'liya', 'gkfc', 'ka', 'sare', 'ladki', 'log', 'ka', 'sapna', 'tut', 'diya', 'sale', 'ne']"
448,"['khel', 'now', 'received', 'access', 'to', 'fifa', 'letter', 'dated', 'why', 'did', 'fifa', 'ban', 'aiff', 'when', 'will', 'the', 'ban', 'be', 'lifted', 'what', 'does', 'fifa', 'not', 'want', 'all', 'questions', 'answered']"
449,"['fifa', 'khel', 'premi', 'assam']"
450,"['aree', 'bhai', 'tu', 'apna', 'dekh', 'na', 'idhar', 'kyu', 'mu', 'maar', 'raha', 'hai', 'sab', 'lei', 'lo', 'tum', 'pep', 'saala', 'fifa', 'khel', 'raha', 'hai', 'jo', 'chaiye', 'woh', 'utha', 'leta', 'hai']"
451,"['la', 'vie', 'nest', 'pas', 'fifa', 'mdr', 'bayil', 'sa', 'khel', 'bi', 'nguay', 'foy']"
452,"['fifa', 'tab', 'tak', 'ban', 'nahi', 'hatayega', 'jab', 'tak', 'third', 'party', 'ka', 'control', 'khatam', 'na', 'ho', 'jaye', 'jab', 'sponsors', 'nahi', 'honge', 'paisa', 'nahi', 'hoga', 'to', 'small', 'clubs', 'shut', 'down', 'honge', 'hi', 'saal', 'ka', 'bhi', 'ban', 'lagega', 'toh', 'india', 'ki', 'senior', 'team', 'asia', 'cup', 'nahi', 'khel', 'payegi', 'contracted', 'players', 'adhe', 'hojayenge']"
453,"['mai', 'primary', 'school', 'me', 'hu', 'to', 'krupiya', 'bataye', 'ki', 'kitne', 'players', 'foreign', 'countries', 'me', 'khel', 'rahe', 'ghanta', 'clubs', 'shut', 'down', 'honge', 'upar', 'se', 'jo', 'foreigners', 'isl', 'i', 'league', 'me', 'hai', 'unke', 'bajay', 'koi', 'saste', 'me', 'indian', 'player', 'aa', 'jayega', 'aur', 'fifa', 'koi', 'sal', 'ke', 'liye', 'india', 'ko', 'ban', 'nahi', 'karne', 'wale']"
454,"['fifa', 'kami', 'khel', 're']"
455,"['covid', 'positive', 'nikla', 'lekin', 'mujay', 'khessin', 'hi', 'nai', 'hai', 'mai', 'fifa', 'khel', 'raha', 'hu', 'araam', 'se']"
456,"['fifa', 'nahi', 'khel', 'rahe']"
457,"['maza', 'aagya', 'fifa', 'khel', 'kar', 'bhai', 'itne', 'saalon', 'baad', 'haaye']"
458,"['fifa', 'ka', 'ss', 'daal', 'kar', 'yeh', 'prove', 'nahi', 'kar', 'rahi', 'h', 'ki', 'unka', 'fav', 'deserving', 'tha', 'balki', 'yeh', 'prove', 'karna', 'chahati', 'h', 'ki', 'kk', 'was', 'not', 'toh', 'dude', 'agar', 'khelna', 'hi', 'hai', 'toh', 'honestl', 'se', 'khel', 'lo', 'here', 'is', 'the', 'ss', 'of', 'big', 'handles', 'and', 'all', 'polls', 'are', 'created', 'before', 'finale', 'too', 'reality']"
460,"['fifa', 'khel', 'ra', 'tha']"
461,"['ye', 'account', 'pakka', 'kisi', 'ladke', 'ka', 'tabhi', 'pure', 'din', 'fifa', 'kabhi', 'kuch', 'agar', 'ladki', 'hoti', 'to', 'ladke', 'ke', 'dilo', 'se', 'khel', 'rahi', 'hoti', 'na', 'ki', 'fifa']"
462,"['fifa', 'v', 'khel', 'layi', 'far', 'cry', 'v', 'khel', 'layi', 'devour', 'v', 'complete', 'awarzone', 'ida', 'khelni', 'ki', 'samant', 'krn', 'eh']"
463,"['fifa', 'khel', 'raha', 'tha', 'light', 'chali', 'gyi', 'ab', 'kese', 'raat', 'guzrey', 'gi']"
464,"['hum', 'gareeb', 'fifa', 'mobile', 'khel', 'k', 'dil', 'ko', 'sambhal', 'lete']"
465,"['yar', 'kisi', 'dost', 'ke', 'ghar', 'chalay', 'jao', 'fifa', 'waghera', 'khel', 'lo']"
466,"['bhai', 'tu', 'fifa', 'khel', 'in', 'kaamo', 'mai', 'mat', 'par']"
467,"['ye', 'fifa', 'khel', 'rahy', 'hain', 'sb']"
468,"['fifa', 'khel', 'and', 'ezzz']"
469,"['yrr', 'fifa', 'offline', 'khelna', 'padega', 'baki', 'pes', 'bhi', 'khelta', 'hu', 'but', 'abhi', 'wo', 'efootball', 'hogaya', 'hai', 'jahan', 'multiple', 'player', 'bhi', 'nhi', 'khel', 'sakte']"
470,"['fifa', 'khel', 'khel', 'ke', 'thak', 'gaya', 'hun', 'vrooo']"
471,"['mai', 'fifa', 'to', 'khel', 'reha', 'jiste', 'marco', 'reus', 'siga', 'cover', 'agar', 'eh', 'keh', 'reha', 'ta', 'world', 'class', 'gi', 'hoyega', 'fer']"
472,"['sorry', 'mate', 'fifa', 'khel', 'rha', 'hu']"
473,"['fifa', 'nai', 'khel', 'raha', 'wo', 'give', 'him', 'some', 'time', 'atleast', 'season', 'he', 'doesnt', 'even', 'have', 'the', 'proper', 'background', 'staff', 'in', 'any', 'field', 'the', 'transition', 'does', 'take', 'some', 'time', 'give', 'him', 'seasons', 'at', 'least']"
474,"['who', 'told', 'these', 'things', 'if', 'you', 'dont', 'know', 'anything', 'dont', 'splash', 'false', 'info', 'pakistan', 'association', 'got', 'banned', 'just', 'because', 'government', 'interfered', 'in', 'the', 'association', 'fifa', 'has', 'a', 'rule', 'that', 'none', 'other', 'than', 'the', 'fifa', 'appointed', 'or', 'approved', 'association', 'should', 'be', 'in', 'the', 'allowed', 'to', 'act']"
475,"['oh', 'yeh', 'the', 'black', 'hole', 'universe', 'stuff', 'and', 'this', 'dp', 'i', 'didnt', 'realise', 'hum', 'fifa', 'yaha', 'khel', 'raha', 'hai', 'no', 'raging']"
476,"['ranbir', 'kya', 'mtlb', 'iss', 'screen', 'm', 'fifa', 'nhi', 'khel', 'skta']"
477,"['ironic', 'pali', 'itni', 'raat', 'ko', 'kyun', 'fifa', 'khel', 'rha', 'hai', 'tu']"
478,"['thukhte', 'reh', 'jaao', 'bsssye', 'nhi', 'ki', 'khel', 'or', 'khel', 'kr', 'aage', 'bdo', 'mulk', 'ka', 'naam', 'roshan', 'kro', 'fifa', 'm', 'khelosaale', 'bhkt', 'cc']"
479,"['bhaisab', 'irl', 'fifa', 'khel', 'rahe', 'hai']"
480,"['aise', 'market', 'main', 'khelne', 'se', 'acha', 'fifa', 'online', 'khel', 'le', 'paise', 'toh', 'bachenge', 'at', 'least']"
481,"['hijab', 'pahen', 'ker', 'olympic', 'and', 'soccer', 'fifa', 'cup', 'khel', 'sakte', 'hai', 'ye', 'aapko', 'pata', 'nahi', 'kya', 'haan', 'burqa', 'clad', 'ya', 'niqab', 'pahne', 'women', 'nahi', 'ker', 'sakte', 'aap', 'hijab', 'aur', 'burqa', 'ko', 'alag', 'rakhiye']"
482,"['mere', 'se', 'nhi', 'ho', 'raha', 'me', 'khana', 'kha', 'ker', 'fifa', 'khel', 'raha', 'hu']"
483,"['bskda', 'fifa', 'khel', 'raha', 'hai', 'ye', 'idhar', 'to', 'sun', 'kovacic', 'ke', 'badle', 'kdb', 'de', 'diyo']"
484,"['unko', 'laga', 'fifa', 'khel', 'rahe', 'hai', 'squad', 'compare', 'kiya', 'basis', 'ea', 'sports', 'rating', 'auto', 'run', 'or', 'dala', 'season', 'bass', 'khatam']"
485,"['ye', 'iceland', 'ka', 'celebration', 'kyun', 'copy', 'kar', 'rahe', 'h', 'saare', 'fan', 'epl', 'dekhkar', 'aur', 'fifa', 'khel', 'kar', 'aate', 'h', 'kya']"
486,"['then', 'bro', 'you', 'should', 'also', 'stop', 'watching', 'football', 'as', 'you', 'wont', 'understand', 'this', 'game', 'either', 'tere', 'bas', 'ka', 'nahi', 'bhai', 'tu', 'ja', 'padhai', 'kar', 'ya', 'gilli', 'danda', 'khel', 'bc', 'fifa', 'ranking', 'batata', 'hai']"
